Feature,SHAP_Value,Absolute_SHAP
tenure,0.061790133310673824,0.061790133310673824
Contract_Month-to-month,0.048898652427547276,0.048898652427547276
InternetService_Fiber optic,0.045190420956145956,0.045190420956145956
TechSupport_No,0.027889572862682153,0.027889572862682153
TenureGroup_0-12 months,0.02721168490753593,0.02721168490753593
OnlineSecurity_No,0.024916658101849728,0.024916658101849728
Contract_Two year,0.02271355665269135,0.02271355665269135
AvgMonthlyCharge,0.021663987193813596,0.021663987193813596
PaymentMethod_Electronic check,0.020277525053641526,0.020277525053641526
TotalCharges,0.017596806846450812,0.017596806846450812
MonthlyCharges,0.014079786085177261,0.014079786085177261
InternetService_DSL,0.012674067628151217,0.012674067628151217
TenureGroup_49-72 months,0.011292522663152081,0.011292522663152081
MultipleLines_No,0.0062696734848996195,0.0062696734848996195
StreamingTV_No internet service,0.0062422233482444835,0.0062422233482444835
