Feature,Mean_Absolute_SHAP
Contract_Month-to-month,0.06352461402352612
tenure,0.0463523581084836
InternetService_Fiber optic,0.04132904776181824
Contract_Two year,0.035322915781300104
OnlineSecurity_No,0.030067338056526758
TechSupport_No,0.029648807121737137
TotalCharges,0.027406869578857608
TenureGroup_0-12 months,0.023063234663960916
MonthlyCharges,0.022633877972410326
PaymentMethod_Electronic check,0.022230131543947297
AvgMonthlyCharge,0.02023428294770326
InternetService_DSL,0.015592301147842026
TenureGroup_49-72 months,0.013871611784549535
Contract_One year,0.010072250781504189
PaperlessBilling_No,0.008434508384394383
OnlineSecurity_Yes,0.007898087515531296
OnlineBackup_No,0.007871781972651048
PaperlessBilling_Yes,0.007646027976809724
OnlineSecurity_No internet service,0.006802412712653359
StreamingTV_No internet service,0.006796918646336499
TechSupport_No internet service,0.006319381499964477
InternetService_No,0.006082816168731841
DeviceProtection_No internet service,0.005855059199223737
TechSupport_Yes,0.005719652584427789
MultipleLines_No,0.0055032182339679065
StreamingMovies_Yes,0.004999643081619588
OnlineBackup_No internet service,0.004652613032758061
MultipleLines_Yes,0.004609115854086141
Dependents_Yes,0.004588216574494222
StreamingMovies_No internet service,0.004151974781389125
SeniorCitizen,0.004005187649504712
Dependents_No,0.003919492256564826
OnlineBackup_Yes,0.003734919827343192
StreamingTV_Yes,0.0036548140150071983
PaymentMethod_Mailed check,0.003642260046107087
PaymentMethod_Credit card (automatic),0.0033068691692355752
StreamingTV_No,0.0031440968571997403
StreamingMovies_No,0.003142602190686
DeviceProtection_No,0.0031235256964201714
Partner_No,0.002549914267684162
Partner_Yes,0.002444728252108752
PaymentMethod_Bank transfer (automatic),0.0024248218166629102
TenureGroup_25-48 months,0.002254527799769086
gender_Male,0.0022285177971273114
gender_Female,0.00210879122428539
DeviceProtection_Yes,0.001693629252701864
MultipleLines_No phone service,0.0016138336354835428
PhoneService_No,0.0014713242828646505
PhoneService_Yes,0.0011790237121554578
TenureGroup_13-24 months,0.0011765847556601777
